8773151, 8773152, 11.878, 2.851
1226077010, 8773148, 8.926, 3.57
2665176079, 8773169, 24.315, 3.223
2665176080, 2665176079, 3.074, 0.426
8773148, 8773149, 7.02, 1.685
8773147, 1226077010, 12.037, 4.815
8773149, 8773150, 13.831, 3.319
8773169, 2665176079, 24.315, 4.846
8773150, 8773151, 11.711, 2.811
2665176079, 2665176080, 3.074, 0.651
633689810, 5892741647, 9.716, 2.186
8773157, 2665176080, 20.372, 2.821
2817743387, 5892741650, 10.955, 3.034
2817743387, 2649825724, 8.857, 1.993
5892741650, 2817743387, 10.955, 2.465
2649825724, 2817743387, 8.857, 2.453
5892741647, 633689810, 9.716, 2.69
5892741647, 5892741650, 0, 0
633406913, 633689811, 131.878, 36.52
633689811, 2649825724, 17.073, 4.728
2665176080, 8773157, 20.372, 4.314
628213248, 633406913, 77.118, 10.678
633689812, 628213248, 8.662, 1.199
633689811, 633406913, 131.878, 29.673
2649825724, 633689811, 17.073, 3.841
628213248, 633689812, 8.662, 1.155
633689812, 628213210, 58.511, 7.801
628213210, 1226076706, 17.718, 2.362
628213210, 633689812, 58.511, 8.102
5892741650, 5892741647, 0, 0
633406913, 628213248, 77.118, 8.956
1226076706, 628213213, 12.138, 1.618
1226076796, 628213213, 28.308, 3.92
628213213, 1226076796, 28.308, 3.774
8773180, 8773177, 15.182, 3.215
8773180, 2665176059, 12.071, 1.144
628213213, 1226076706, 12.138, 1.681
2665176059, 8773180, 12.071, 2.556
1604236113, 8773177, 16.608, 1.573
8773175, 1604236113, 16.12, 1.527
2665176067, 8773174, 11.493, 1.089
8773177, 8773180, 15.182, 1.438
8773174, 8773175, 27.214, 2.578
8773174, 2665176067, 11.493, 2.434
8773177, 1604236113, 16.608, 3.517
1604236113, 8773175, 16.12, 3.414
8773175, 8773174, 27.214, 5.763
2651099964, 2665176067, 11.349, 1.075
2651099964, 8773173, 19.659, 4.163
8773172, 2665176070, 17.839, 1.69
2665176070, 8773172, 17.839, 3.778
2665176067, 2651099964, 11.349, 2.403
8773172, 1604236130, 17.379, 3.68
8773173, 2665176070, 18.235, 3.862
2665176070, 8773173, 18.235, 1.728
8773173, 2651099964, 19.659, 1.862
1604236130, 8773171, 18.658, 3.951
8773171, 1604236130, 18.658, 1.768
8773203, 2664395124, 20.759, 2.265
8773204, 8773203, 76.057, 8.297
8773171, 8773169, 33.153, 7.021
2664395124, 4353347462, 11.494, 1.254
8773169, 8773171, 33.153, 3.141
1226076706, 628213210, 17.718, 2.453
8773200, 1402783465, 15.297, 1.669
8773202, 8773201, 32.729, 3.57
8773199, 1226014304, 11.048, 1.205
4353347462, 8773202, 10.872, 1.186
1226014304, 8773198, 14.345, 2.869
8773201, 8773200, 41.481, 4.525
8773198, 1402783464, 14.745, 2.949
1402783464, 2664395108, 11.484, 2.297
8773197, 2664395109, 10.656, 2.131
2664395108, 8773197, 6.008, 1.202
323998017, 1134627167, 10.191, 1.834
2669530470, 1402783439, 29.722, 5.35
1162512650, 2669530535, 8.825, 1.588
1402783465, 8773199, 14.424, 1.574
1402783446, 1162512650, 8.874, 1.597
2669530443, 2670891887, 0, 0
1134627167, 1402783446, 8.902, 1.602
1604236130, 8773172, 17.379, 1.646
1134626936, 2669530431, 1.915, 0.345
2670891887, 2669530437, 10.994, 1.986
1402783439, 2669530443, 6.457, 1.162
2669530437, 1134626936, 12.472, 2.245
2669530535, 2669530470, 88.159, 15.869
2669530431, 1134627000, 6.92, 1.246
2664395122, 2665065821, 18.427, 2.287
2665065821, 8773194, 16.115, 2
8773194, 2665065821, 16.115, 1.568
2834526943, 3151595297, 28.002, 7.201
2665065821, 2664395122, 18.427, 1.793
3151595296, 8773760, 10.662, 3.199
3151595296, 2834526943, 0, 0
2834526943, 3151595296, 0, 0
3151595297, 2834526943, 28.002, 8.401
8773760, 3151595296, 10.662, 2.742
8773761, 3151595297, 13.66, 4.098
3151595297, 8773761, 13.66, 3.513
8773761, 5893612068, 6.631, 2.17
5893612068, 6053250139, 1.665, 0.545
6053250142, 2834526496, 23.834, 7.8
8773766, 2834526930, 16.515, 6.606
8773761, 903612835, 38.365, 15.346
903612835, 3151595299, 28.222, 14.514
2834526496, 8773762, 7.434, 2.433
6053250139, 6053250142, 109.086, 35.701
3151595299, 903612835, 28.222, 10.16
3151595300, 3151595299, 0, 0
903612835, 8773761, 38.365, 15.346
3151595299, 3151595300, 0, 0
8773765, 3151595300, 14.268, 5.136
3151595300, 8773765, 14.268, 7.338
6053444793, 2873879931, 2.75, 1.65
